lemma,frequency,derivatives
amante,42,amante amantes
alerta,42,alerta
aéreo,42,aérea aéreo aéreas
acompañar,42,acompañe acompaño acompañarme acompaña acompañar
virus,41,virus
venganza,41,venganza
unir,41,unirse une unirte unir unió únete
rostro,41,rostro rostros
planta plantar,41,planta plantas
placa,41,placa placas
pérdida,41,pérdida pérdidas
parque,41,parque
negar,41,niega negar niego negó
ministro,41,ministro
lucir,41,luce lucir luzco lucen
lío,41,lío líos
juguete,41,juguete juguetes
juego,41,juegos
federal,41,federal federales
extra,41,extra extras
experto,41,experto expertos
expediente,41,expediente expedientes
domingo,41,domingo domingos
documento,41,documentos documento
civil,41,civiles civil
cantidad,41,cantidad cantidades
barrio,41,barrio
vergüenza,40,vergüenza
vehículo,40,vehículo vehículos
universo,40,universo
sentar sentir,40,sienta sientan
secundario,40,secundaria secundario secundarios
sábado,40,sábado sábados
reino reinar,40,reino
política,40,política
plata,40,plata
pintura,40,pintura pinturas
paquete,40,paquete paquetes
olor,40,olor
nieve,40,nieve
México,40,méxico
María maría,40,maría
maleta,40,maleta maletas
magia,40,magia
lluvia,40,lluvia
humor,40,humor
fresco,40,fresco fresca
Europa,40,europa
desayuno desayunar,40,desayuno
cubrir,40,cubrir cubre cúbranse cubriendo
cargar,40,cargar cargando carguen
británico,40,británico británicos británica
bolsillo,40,bolsillo bolsillos
asesino,40,asesinos
asesinar,40,asesinó asesinar asesinaron asesinaste
almuerzo almorzar,40,almuerzo
afortunado,40,afortunado afortunada afortunados
aburrido aburrir,40,aburrido aburrida
útil,39,útil útiles
uniforme,39,uniforme uniformes
teoría,39,teoría teorías
tanque,39,tanque tanques
sociedad,39,sociedad
ron Ron,39,ron
rock,39,rock
resultado resultar,39,resultado
resolver,39,resolver resolverlo
negativo,39,negativo negativa
mirada mirar,39,mirada
malvado,39,malvado malvada malvados
magnífico,39,magnífico magnífica magnifico
libra librar,39,libras libra
lección,39,lección lecciones
kilómetro,39,kilómetros kilómetro
espectáculo,39,espectáculo
enterar,39,enteré entere enteró enterarme enterar
curso,39,curso
cuerda cuerdo,39,cuerda cuerdas
coño,39,coño
centavo,39,centavos centavo
camioneta,39,camioneta
altura,39,altura alturas
visión,38,visión visiones
vía,38,vía vías
suficientemente,38,suficientemente
social,38,social sociales
recuerdo,38,recuerdos
presencia,38,presencia
parecido parecer,38,parecido parecida
página,38,página páginas
oferta,38,oferta
observar,38,observando observa observar
nosotras,38,nosotras
mundial,38,mundial
mercado,38,mercado
límite,38,límite límites
legal,38,legal legales
humanidad,38,humanidad
granja,38,granja
Francia,38,francia
fortuna,38,fortuna
fila,38,fila filas
espera esperar,38,esperas
empleado emplear,38,empleado empleados
durar,38,durará durar duró duran dure
discurso,38,discurso discursos
celular,38,celular celulares
botón,38,botón botones
atrever,38,atreves atreve atrevas
ala,38,alas ala
vampiro,37,vampiros vampiro
Troya,37,troya
serpiente,37,serpiente serpientes
sencillo,37,sencillo sencilla
rueda,37,rueda ruedas
resultado,37,resultados
perseguir,37,persiguiendo persigue perseguir persiguen
perfectamente,37,perfectamente
misterio,37,misterio misterios
mejorar,37,mejorar mejorando mejora
lunes,37,lunes
lord,37,lord
jardín,37,jardín
inspector,37,inspector
incendio,37,incendio incendios
firmar,37,firmar firmó firmo
ey,37,ey
entrenamiento,37,entrenamiento
efectivo,37,efectivo
desaparecido desaparecer,37,desaparecido
crédito,37,crédito créditos
correo,37,correo correos
conexión,37,conexión conexiones
condenado condenar,37,condenado condenada condenados
compartir,37,compartir compartimos
coma comer,37,coma comas
cola colar,37,cola
cirugía,37,cirugía
azúcar,37,azúcar
asqueroso,37,asqueroso asquerosa
artista,37,artista artistas
armado armar,37,armado armados
adonde,37,adonde
venta,36,venta ventas
vaso,36,vaso vasos
socorro socorrer,36,socorro
sir,36,sir
senador,36,senador
robar robado,36,robado
retroceder,36,retrocedan retrocede retroceder
polvo,36,polvo
paso,36,pasos
nuevamente,36,nuevamente
nadar,36,nadar nadando
material,36,material materiales
incluir,36,incluyendo incluye incluir
hombro,36,hombro hombros
helado helar,36,helado
harto hartar,36,harto harta
gracia,36,gracia
gloria,36,gloria
galleta,36,galletas galleta
fútbol,36,fútbol
fotografía,36,fotografía fotografías
falso,36,falso falsos
explicación,36,explicación explicaciones
emperador,36,emperador
directamente,36,directamente
despierto despertar,36,despierto despiertas
Cristo,36,cristo
contrario,36,contrario
conejo,36,conejo conejos
cómodo,36,cómodo cómodos
cien,36,cien
causar,36,causar causó causando
camarada,36,camarada camaradas
búsqueda,36,búsqueda
artículo,36,artículo artículos
alcanzar,36,alcanzar alcanza alcanzo
agujero,36,agujero agujeros
adulto,36,adultos adulto
tratado tratar,35,tratado
separar,35,separarnos separamos sepárense separar separe
rescate rescatar,35,rescate
queso,35,queso
plano,35,plano planos plana
pizza,35,pizza pizzas
pesado pesar,35,pesado pesada
personaje,35,personaje personajes
objeto,35,objeto objetos
mudar,35,mudó mudar mudarse mudarnos mudamos mudarme
mortal,35,mortal mortales
milagro,35,milagro
letra,35,letra letras
jueves,35,jueves
Irak,35,irak
inteligencia,35,inteligencia
flota flotar,35,flota
felicitación,35,felicitaciones
excusa excusar,35,excusa excusas
enviado enviar,35,enviado enviada
enfrente,35,enfrente
deprisa,35,deprisa
comienzo comenzar,35,comienzo
colina,35,colina colinas
ciudadano,35,ciudadanos ciudadano
celda,35,celda celdas
bestia,35,bestia bestias
ambulancia,35,ambulancia
visitar,34,visitar visitarme
tráfico,34,tráfico
tensión,34,tensión
sagrado,34,sagrado sagrada
rumor,34,rumores rumor
roto,34,rota rotos rotas
reporte,34,reporte reportes
recién,34,recién
proceso procesar,34,proceso
ocasión,34,ocasión ocasiones
martes,34,martes
licencia,34,licencia
lento,34,lento lenta
impresionante,34,impresionante
gigante,34,gigante gigantes
entrevista,34,entrevista entrevistas
entrega entregar,34,entrega entregas
encender,34,enciende encender encienda
ejercicio,34,ejercicio ejercicios
desierto,34,desierto
deshacer,34,deshazte deshacerse deshacerme deshacer deshacerte
cartera,34,cartera
cansado cansar,34,cansada
cañón,34,cañón cañones
cáncer,34,cáncer
campamento,34,campamento
atravesar,34,atravesar atravesó atravesando atraviesa
alcance alcanzar,34,alcance
violencia,33,violencia
vaca,33,vaca vacas
suave,33,suave suaves
sonreír,33,sonríe sonriendo sonreír sonrían
sentado sentar,33,sentada sentados
salón,33,salón
ruta,33,ruta rutas
prostituta,33,prostituta prostitutas
privado,33,privada privadas
orgullo,33,orgullo
oreja,33,orejas oreja
moneda,33,moneda monedas
maravilla,33,maravilla maravillas
italiano,33,italiano italianos italiana
ilegal,33,ilegal ilegales
homicidio,33,homicidio homicidios
fallar,33,falló fallar fallé fallaste
explotar,33,explotar explota explotó
equivocado equivocar,33,equivocada
dragón,33,dragón dragones
declaración,33,declaración declaraciones
cristal,33,cristal cristales
comunicación,33,comunicación comunicaciones
comercial,33,comercial comerciales
caza cazar,33,caza cazas
bravo,33,bravo
apartar,33,apártate apártense aparta apártese
análisis,33,análisis
agencia,33,agencia
abandonado abandonar,33,abandonado abandonada
tripulación,32,tripulación
temporada,32,temporada
taza,32,taza
sangrar,32,sangrando sangrar sangra
sacerdote,32,sacerdote sacerdotes
producto,32,producto productos
porquería,32,porquería porquerías
parada parar,32,parada
paciencia,32,paciencia
oído,32,oídos oido
normalmente,32,normalmente
noble,32,noble nobles
muro,32,muro muros
mental,32,mental mentales
medida medir,32,medida medidas
gay,32,gay
espejo,32,espejo
espacial,32,espacial espaciales
entrenador,32,entrenador
enfrentar,32,enfrentar enfrentarse enfrenta enfrentamos
deuda,32,deuda deudas
conocimiento,32,conocimiento conocimientos
complicado complicar,32,complicado
cero,32,cero
célula,32,células célula
cazador,32,cazador cazadores
actividad,32,actividad actividades
veinte,31,veinte
vega,31,vegas
tubo,31,tubo tubos
transporte transportar,31,transporte
tigre,31,tigre tigres
teatro,31,teatro
suicidio,31,suicidio
símbolo,31,símbolo símbolos
señoría,31,señoría
rezar,31,rezar reza rezando
piscina,31,piscina
oso osar,31,oso
onda,31,onda ondas
medianoche,31,medianoche
labio,31,labios
informar,31,informar informa informarle informó
importancia,31,importancia
guía,31,guía
funeral,31,funeral
frecuencia,31,frecuencia frecuencias
fabuloso,31,fabuloso fabulosa
extranjero,31,extranjero extranjeros extranjera
explosión,31,explosión
experimento,31,experimento experimentos
esclavo,31,esclavos esclavo
encargo encargar,31,encargo
disco discar,31,disco
copia copiar,31,copia
conciencia,31,conciencia
colgar,31,colgar cuelga colgando
cinturón,31,cinturón cinturones
caso,31,casos
biblioteca,31,biblioteca
atractivo,31,atractivo atractiva
arena,31,arena
aquello,31,aquello aquellas
ventaja,30,ventaja ventajas
templo,30,templo
temperatura,30,temperatura
tele televisión,30,tele
representar,30,representa represento representar
rastro,30,rastro rastros
procedimiento,30,procedimiento procedimientos
pretender,30,pretende pretender pretendo pretendes pretendía
precisamente,30,precisamente
pescado pescar,30,pescado
pasillo,30,pasillo
nuclear,30,nuclear nucleares
museo,30,museo
ira,30,ira
imperio,30,imperio
función,30,función funciones
estupidez,30,estupidez estupideces
escudo,30,escudo escudos
doce,30,doce
diversión,30,diversión
curioso,30,curioso
cruel,30,cruel crueles
contratar,30,contrató contratar contraté
contado contar,30,contado
comunidad,30,comunidad
comido comer,30,comido
cercano,30,cercano cercana cercanos
celoso,30,celoso celosa
celebrar,30,celebrar celebrando
asistente,30,asistente
utilizar,29,utilizar utiliza utilizando
tratamiento,29,tratamiento
subtítulo,29,subtítulos subtitulos
solución,29,solución
saco sacar,29,saco
rumbo,29,rumbo
registro registrar,29,registro
rápidamente,29,rápidamente
pirata,29,pirata piratas
perdedor,29,perdedor perdedores
pene,29,pene
patrón,29,patrón patrones
misil,29,misiles misil
mío Mia,29,mia
manzana,29,manzana manzanas
lata,29,lata latas
julio,29,julio
indio,29,indios indio
hoja,29,hoja hojas
herida herir,29,heridas
gasolina,29,gasolina
fecha,29,fecha
falsa falso,29,falsa falsas
esposas esposa,29,esposas
esfuerzo esforzar,29,esfuerzo
escritorio,29,escritorio
encerrado encerrar,29,encerrado encerrada encerrados
deporte,29,deporte deportes
cuadro,29,cuadro cuadros
combustible,29,combustible
caro,29,caro caros
boleto,29,boletos boleto
aviso avisar,29,aviso
asombroso,29,asombroso asombrosa
arreglo,29,arreglo arreglos
aparte,29,aparte
anterior,29,anterior anteriores
almirante,29,almirante
agradar,29,agrada agradas agradan
advertir,29,advierto advertí
abrir abra,29,abra
abrigo,29,abrigo
vigilancia,28,vigilancia
traidor,28,traidor traidores
tecnología,28,tecnología
técnica,28,técnica técnicas
sótano,28,sótano
sonrisa,28,sonrisa
sacrificio,28,sacrificio sacrificios
romántico,28,romántico romántica
rogar,28,ruego
reunir,28,reunir reúne reuniremos reunirse
rehén,28,rehenes rehén
recompensa recompensar,28,recompensa
raza,28,raza
político,28,político políticos
personalmente,28,personalmente
palo,28,palo palos
mutante,28,mutantes mutante
marino marina,28,marina
joya,28,joyas joya
izquierdo,28,izquierdo
inventar,28,inventó inventar inventé inventando
humo,28,humo
gobernador,28,gobernador
globo,28,globo globos
formar,28,formar formen forman
fingir,28,fingir fingiendo finge
fiebre,28,fiebre
exterior,28,exterior exteriores
estadounidense,28,estadounidense estadounidenses
enfadado enfadar,28,enfadado enfadada
empujar,28,empuja empujar empujen empujó
Drácula,28,drácula
culpar,28,culpo culpar culpes
cueva,28,cueva cuevas
conseguido conseguir,28,conseguido
conferencia,28,conferencia conferencias
conde,28,conde
condado,28,condado
clima,28,clima
chiste chistar,28,chiste
bolso,28,bolso
ave,28,ave aves
anciano,28,anciano ancianos
amistad,28,amistad
amado amar,28,amado amada
alarma alarmar,28,alarma
whisky,27,whisky
veneno,27,veneno
usar usado,27,usado
sucedido suceder,27,sucedido
sensación,27,sensación
seguido seguir,27,seguido
satélite,27,satélite satélites
rubio,27,rubia rubio
reputación,27,reputación
rebelde,27,rebeldes rebelde
prometido prometer,27,prometido prometida
pecado pecar,27,pecado
patrulla,27,patrulla patrullas
pantalla,27,pantalla
oxígeno,27,oxígeno
océano,27,océano
ó,27,ó
mínimo,27,mínimo mínima
miel,27,miel
máscara,27,máscara máscaras
mandar manda,27,manda
maestra maestro,27,maestra
madera,27,madera
jurado jurar,27,jurado
invierno,27,invierno
interno,27,interno internos
insistir,27,insisto insiste insistió insistes
indicar,27,indica indican
impresión,27,impresión
identificación,27,identificación
grial,27,grial
gira girar,27,gira
garganta,27,garganta
gallina,27,gallina gallinas
educación,27,educación
demostrar,27,demostrar demuestra
delicioso,27,delicioso deliciosa
defender,27,defender defenderse
declarar,27,declarar declaro declaró declara
curiosidad,27,curiosidad
confundido confundir,27,confundido confundida
claramente,27,claramente
cierre cerrar,27,cierre cierres
chaqueta,27,chaqueta
casco cascar,27,casco cascos
cargo,27,cargos
caído caer,27,caído
burro,27,burro
bebida beber,27,bebida
anuncio,27,anuncio anuncios
alcohol,27,alcohol
alcalde,27,alcalde
adecuado,27,adecuado adecuada
acusado acusar,27,acusado acusados
actitud,27,actitud
valer,26,valen valía valga valió
urgente,26,urgente
unión,26,unión union
trauma,26,trauma
sincero,26,sincero sincera
ritmo,26,ritmo
rifle,26,rifle rifles
queja quejar,26,quejas queja
prestar,26,presta prestas presten prestar
preso,26,preso presos
preciso,26,preciso precisa
positivo,26,positivo positiva
palacio,26,palacio
moto,26,moto
morder,26,mordió muerde morder
molesto molestar,26,molesto
llover,26,lloviendo llover llueve
kilo,26,kilos
instrucción,26,instrucciones
instituto,26,instituto
instante,26,instante
ideal,26,ideal ideales
hada,26,hadas hada
gusano,26,gusano gusanos
griego,26,griegos griego
generación,26,generación generaciones
florido,26,florida
explosivo,26,explosivos explosivo
ducha duchar,26,ducha
despedido despedir,26,despedido
descubierto descubrir,26,descubierto
desconocido desconocer,26,desconocido desconocidos
cuyo,26,cuyo cuya
cuán,26,cuán
convertido convertir,26,convertido
contento contentar,26,contenta
cerebral,26,cerebral cerebrales
bota botar,26,botas
Berlín,26,berlín
beneficio,26,beneficios beneficio
barra barrer,26,barra barras
arriesgar,26,arriesgar arriesgarnos arriesgando arriesgarme
arrestar,26,arrestar arrestaron arresten
arder,26,ardiendo arde arder
aparentemente,26,aparentemente
ambos,26,ambas
ambiente,26,ambiente
amarillo,26,amarillo amarilla
Alemania,26,alemania
violento,25,violento violentos violenta
trabajo,25,trabajos
trabajador,25,trabajadores trabajador
sopa,25,sopa
solitario,25,solitario solitaria
sano,25,sano sana
saludar,25,saluda saludar
resistir,25,resiste resistir
reserva reservar,25,reserva reservas
rendir,25,rindo rendirse rendir rindas
pulmón,25,pulmones pulmón
probable,25,probable
práctica,25,práctica prácticas
periodista,25,periodista periodistas
patético,25,patético patética
pasión,25,pasión
obvio,25,obvio
munición,25,municiones munición
montar,25,montar monta
mágico,25,mágica mágico
lanzamiento,25,lanzamiento
internacional,25,internacional internacionales
identidad,25,identidad
fiscal,25,fiscal
fijar,25,fíjate fíjense
eterno,25,eterna eterno
esto este,25,éstos
esta este,25,éstas
disponible,25,disponible disponibles
daño,25,daños
cruz,25,cruz
conductor,25,conductor
comportamiento,25,comportamiento
cohete,25,cohete cohetes
casino,25,casino
caramba,25,caramba
campaña,25,campaña
cambio,25,cambios
atender,25,atender atiende
arresto arrestar,25,arresto
apestar,25,apesta
amanecer,25,amanecer
alteza,25,alteza
aldea,25,aldea
afectar,25,afecta afectar afectó
voluntario,24,voluntario voluntarios voluntaria
virgen,24,virgen
vaquero,24,vaquero vaqueros
título,24,título
término,24,términos término
superficie,24,superficie
sesión,24,sesión sesiones
retirado retirar,24,retirado retirada
reacción,24,reacción
pasaporte,24,pasaporte
pasajero,24,pasajeros pasajero
pánico,24,pánico
ola,24,ola olas
oculto ocultar,24,oculta oculto
monje,24,monje monjes
moda,24,moda
maricón,24,maricón maricones
instinto,24,instinto instintos
incidente,24,incidente
impuesto imponer,24,impuestos
hierba,24,hierba
herir,24,herir hirieron hirió
hamburguesa,24,hamburguesa hamburguesas
falla fallar,24,falla
fácilmente,24,fácilmente
extraordinario,24,extraordinario extraordinaria
extraño,24,extraños
excelencia,24,excelencia
español,24,español española
escenario,24,escenario
enterrado enterrar,24,enterrado enterrada
disfraz,24,disfraz disfraces
crisis,24,crisis
comentario,24,comentario comentarios
cirujano,24,cirujano cirujanos
cazar,24,cazar cazando
castigo castigar,24,castigo
billete,24,billetes billete
biblia,24,biblia
barato,24,barato baratos
ayudante,24,ayudante ayudantes
aventura,24,aventura
asco,24,asco
asalto asaltar,24,asalto
apropiado,24,apropiado apropiada
trozo,23,trozo trozos
tremendo,23,tremendo tremenda
treinta,23,treinta
toalla,23,toalla toallas
territorio,23,territorio
septiembre,23,septiembre
senado,23,senado
salsa,23,salsa
regalo,23,regalos
punta,23,punta
puerto,23,puerto
primavera,23,primavera
potencia,23,potencia
pastilla,23,pastillas pastilla
partida partido partir,23,partida
paraíso,23,paraíso
nube,23,nubes nube
nacido nacer,23,nacido
método,23,métodos método
marco marcar,23,marco
mancha manchar,23,mancha manchas
lanza lanzar,23,lanza lanzas
joder jodido,23,jodida
Jesucristo,23,jesucristo
industria,23,industria industrias
física físico,23,física
fábrica,23,fábrica
estudio,23,estudios
escritor,23,escritor escritores
escape escapar,23,escape
enano,23,enano enanos
elegido elegir,23,elegido
destrucción,23,destrucción
cristiano,23,cristiano cristianos cristiana
compromiso,23,compromiso
competencia,23,competencia
cole colegio,23,cole
coincidencia,23,coincidencia
círculo,23,círculo círculos
capacidad,23,capacidad
bandera,23,bandera
armario,23,armario
alternativa alternativo,23,alternativa
alegría,23,alegría
ADN,23,adn
verdaderamente,22,verdaderamente
teta,22,tetas
terreno,22,terreno
terapia,22,terapia
sospecha sospechar,22,sospecha sospechas
secuestro secuestrar,22,secuestro
salvado salvar,22,salvado
sacado sacar,22,sacado
sabor,22,sabor
refuerzo,22,refuerzos
recibo recibir,22,recibo
practicar,22,practicar practicando
posiblemente,22,posiblemente
personalidad,22,personalidad
peor,22,peores
pasar pasa,22,pasas
particular,22,particular
paliza,22,paliza
notar,22,noté notar noto
nene,22,nene
misterioso,22,misterioso misteriosa
masaje,22,masaje masajes
león,22,león leones
lanzar,22,lanzar lanzó
jugo,22,jugo
Japón,22,japón
imaginación,22,imaginación
igualmente,22,igualmente
hígado,22,hígado
herido herir,22,heridos
guante,22,guantes guante
gimnasio,22,gimnasio
evento,22,evento eventos
enojar,22,enojar enojes enoja
emocionante,22,emocionante
embajador,22,embajador
dormitorio,22,dormitorio
docena,22,docena docenas
divino,22,divino divina
despejado despejar,22,despejado
despacho despachar,22,despacho
desgracia,22,desgracia
deseo,22,deseos
desagradable,22,desagradable
dedicar,22,dedica dedicas dedico
criar,22,criar crió crié
creado crear,22,creado
costumbre,22,costumbre costumbres
cortina,22,cortinas cortina
consecuencia,22,consecuencias
congreso,22,congreso
comité,22,comité
comisario,22,comisario
circunstancia,22,circunstancias
cerrado,22,cerrados cerradas
cementerio,22,cementerio
capa,22,capa capas
cabina,22,cabina
bendecir,22,bendiga
armada armado armar,22,armada
aprecio apreciar,22,aprecio
amén,22,amén
adolescente,22,adolescente adolescentes
acero,22,acero
vital,21,vital vitales
vestir,21,vestir vístete vestirme
tribunal,21,tribunal
típico,21,típico típica
sector,21,sector
residente,21,residente residentes
proponer,21,propongo propone proponer
preocupación,21,preocupación preocupaciones
pozo,21,pozo
popular,21,popular
pluma,21,pluma plumas
planeado planear,21,planeado
pendejo,21,pendejo
payaso,21,payaso payasos
pariente,21,parientes pariente
pandilla,21,pandilla pandillas
organización,21,organización
nacimiento,21,nacimiento
móvil,21,móvil
metal,21,metal
mascota,21,mascota mascotas
marihuana,21,marihuana
marica,21,marica maricas
logro lograr,21,logro
logrado lograr,21,logrado
lectura,21,lectura lecturas
jersey,21,jersey
internet,21,internet
infección,21,infección
india indio India,21,india
golf,21,golf
frase,21,frase frases
flecha,21,flecha flechas
firmado firmar,21,firmado firmada
figura figurar,21,figura figuras
esperar esperado,21,esperado
equipo,21,equipos
encanto encantar,21,encanto
ejercitar ejército,21,ejercito
división,21,división
destruido destruir,21,destruido
despedida despedido despedir,21,despedida
demanda demandar,21,demanda demandas
decente,21,decente
cultura,21,cultura culturas
crema,21,crema
convencer,21,convencer convenció
concentrar,21,concéntrate concentrarme
coca,21,coca
clínica clínico,21,clínica
circo,21,circo
cicatriz,21,cicatriz cicatrices
cabra,21,cabra cabras
ascensor,21,ascensor
arrestado arrestar,21,arrestado
África,21,áfrica
adorable,21,adorable
acostumbrado acostumbrar,21,acostumbrado acostumbrada
zorra,20,zorra
wow,20,wow
visita visitar,20,visitas
versión,20,versión
vela,20,velas
valle,20,valle
valioso,20,valioso valiosa
transmisión,20,transmisión
tragedia,20,tragedia
tema,20,temas
sofá,20,sofá
sobrino,20,sobrino
signo,20,signos signo
separado separar,20,separados separado
selva,20,selva
secuencia,20,secuencia
salchicha,20,salchichas salchicha
resistencia,20,resistencia
prohibido prohibir,20,prohibido
probabilidad,20,probabilidades probabilidad
poli policía,20,poli
poema,20,poema poemas
pm,20,pm
pato,20,pato
patio,20,patio
pasear,20,pasear paseando
pagar pagado,20,pagado
órgano,20,órganos órgano
olvido olvidar,20,olvido
ocultar,20,ocultar ocultando
negociar,20,negociar negociando
moderno,20,moderna moderno
mexicano,20,mexicano mexicanos mexicana
lógica,20,lógica
lleno,20,llenos llenas
ligero,20,ligera ligero
lentamente,20,lentamente
lealtad,20,lealtad
junior,20,junior
huh,20,huh
guardián,20,guardián guardianes
gota,20,gota gotas
generoso,20,generoso generosa
furioso,20,furioso furiosa
fiel,20,fiel fieles
fenómeno,20,fenómeno fenómenos
fascinante,20,fascinante
fantasía,20,fantasía fantasías
elegante,20,elegante
electricidad,20,electricidad
divorcio,20,divorcio
detenido detener,20,detenido
depósito,20,depósito
corredor,20,corredor corredores
contener,20,contiene contener
conectado conectar,20,conectado conectados
concierto,20,concierto
cometer cometido,20,cometido
ciertamente,20,ciertamente
charla charlar,20,charla
casualidad,20,casualidad
cartel,20,cartel carteles
caos,20,caos
brindar,20,brindemos brindo brindar
bicicleta,20,bicicleta
batería,20,batería baterías
avanzado avanzar,20,avanzada avanzado
arrancar,20,arranca arrancar
aparato,20,aparato aparatos
alumno,20,alumnos alumno
aliento,20,aliento
aguja,20,aguja agujas
agradecido agradecer,20,agradecido agradecida
advertencia,20,advertencia
academia,20,academia
vencer,19,vencer vinci
vecindario,19,vecindario
sufrimiento,19,sufrimiento
saludo,19,saludos
salto saltar,19,salto
rutina,19,rutina
revolución,19,revolución
respiración,19,respiración
requerir,19,requiere
renunciar,19,renunciar
regresado regresar,19,regresado
plástico,19,plástico
piedad,19,piedad
piano,19,piano
pavo,19,pavo pavos
okay,19,okay
octubre,19,octubre
nieto,19,nieto nietos
motel,19,motel
miserable,19,miserable
masa,19,masa masas
ja,19,ja
infeliz,19,infeliz
impedir,19,impedir impide
impacto,19,impacto
ilusión,19,ilusión ilusiones
idioma,19,idioma idiomas
hoyo,19,hoyo
honestamente,19,honestamente
heroína,19,heroína
grano,19,grano
generador,19,generador generadores
garaje,19,garaje
ganancia,19,ganancias ganancia
furia,19,furia
fruta,19,fruta frutas
filmar,19,filmar filme filmando
fan,19,fan fans
extraterrestre,19,extraterrestre extraterrestres
existencia,19,existencia
estatua,19,estatua estatuas
espía espiar,19,espía
elemento,19,elementos elemento
dosis,19,dosis
disparado disparar,19,disparado
delicado,19,delicado delicada
cuadra,19,cuadras cuadra
coraje,19,coraje
construcción,19,construcción
comando,19,comando
colonia,19,colonia colonias
claro clara,19,clara
campo,19,campos
caída caído caer,19,caída
bicho,19,bichos bicho
béisbol,19,béisbol
básicamente,19,básicamente
autorización,19,autorización
automático,19,automático automática
aterrizar,19,aterrizar
almorzar,19,almorzar
alianza,19,alianza
acusación,19,acusación acusaciones
actuación,19,actuación
tribu,18,tribu tribus
tranquilizar,18,tranquilízate
tono,18,tono
tímido,18,tímido tímida
terror,18,terror
sufrido sufrir,18,sufrido
submarino,18,submarino submarinos
soltero,18,soltero solteros
sirviente,18,sirviente sirvientes
sed,18,sed
secretario,18,secretario
salvar salvo salva,18,salva
Rusia rusia,18,rusia
rodar,18,rodar rodando
revés,18,revés
respetar,18,respetar respeta
residencia,18,residencia
remedio,18,remedio
recepción,18,recepción
ratón,18,ratón ratones
quince,18,quince
progreso progresar,18,progreso
prioridad,18,prioridad prioridades
prima,18,prima
prácticamente,18,prácticamente
plaza,18,plaza
petróleo,18,petróleo
perrito perro,18,perrito
pendiente,18,pendiente pendientes
pecado,18,pecados
obispo,18,obispo
obedecer,18,obedecer obedece
nocturno,18,nocturno nocturna
ningún,18,ningun
nazi,18,nazis nazi
Moscú,18,moscú
moral,18,moral
médica médico,18,médica
litro,18,litros litro
liberar,18,liberar libera
Italia,18,italia
irlandés,18,irlandés irlandeses
involucrado involucrar,18,involucrado
insecto,18,insectos insecto
inconsciente,18,inconsciente
huésped,18,huésped huéspedes
hierro,18,hierro
herramienta,18,herramientas herramienta
heleno Helena,18,helena
grito,18,gritos
gris,18,gris
grasa,18,grasa
gatito gato,18,gatito
frito,18,fritas fritos
francamente,18,francamente
físico,18,físico físicos
estelar,18,estelar
escuadrón,18,escuadrón
encargado encargar,18,encargado
DJ,18,dj
diseño diseñar,18,diseño
desesperado desesperar,18,desesperado desesperada
cuento,18,cuentos
cuartel,18,cuartel
costado costar,18,costado
corona,18,corona
copia,18,copias
consciente,18,consciente
confirmar,18,confirmar confirma
conducta,18,conducta
colección,18,colección
caramelo,18,caramelo caramelos
carácter,18,carácter
capítulo,18,capítulo
candidato,18,candidato candidatos
campeonato,18,campeonato
campana,18,campana campanas
calidad,18,calidad
breve,18,breve
borde,18,borde
aumentar,18,aumentar aumenta
ataque,18,ataques
asesina asesino asesinar,18,asesina
alfombra alfombrar,18,alfombra
alejado alejar,18,alejado alejada
Afganistán,18,afganistán
adicto,18,adicto adictos
actual,18,actual
actriz,18,actriz
absurdo,18,absurdo
vomitar,17,vomitar
vena,17,venas vena
traición,17,traición
tradición,17,tradición
tomar tomate,17,tómate
tirado tirar,17,tirado
tina,17,tina
temporal,17,temporal
técnico,17,técnico técnicos
superar,17,superar superarlo
suicidar,17,suicidó suicidarse
sobreviviente,17,sobrevivientes sobreviviente
ronda rondar,17,ronda
rodeado rodear,17,rodeado rodeados
registro,17,registros
refugio refugiar,17,refugio
razonable,17,razonable
puño,17,puño puños
puesta puesto poner,17,puesta
publicidad,17,publicidad
producir,17,produce producir
priorato,17,priorato
presentimiento,17,presentimiento
pinta pintar,17,pinta
pico,17,pico
patada,17,patada patadas
pasta pastar,17,pasta
parar par,17,pares
ogro,17,ogro ogros
notado notar,17,notado
norteamericano,17,norteamericanos norteamericano
naturalmente,17,naturalmente
músculo,17,músculos músculo
muelle,17,muelle
miércoles,17,miércoles
medalla,17,medalla
mayo,17,mayo
manual,17,manual
maldad,17,maldad
limpieza,17,limpieza
lágrima,17,lágrimas
jaula,17,jaula
inversión,17,inversión inversiones
interrumpir,17,interrumpir
informado informar,17,informado
homosexual,17,homosexual homosexuales
hambriento,17,hambriento hambrientos
Grecia,17,grecia
gravedad,17,gravedad
grabar,17,grabar grabando
gemelo,17,gemelos gemelas
fatal,17,fatal
entrenar,17,entrenar entrenando
embajada,17,embajada
eliminar,17,eliminar
egoísta,17,egoísta
dieta,17,dieta
desayunar,17,desayunar
desafortunadamente,17,desafortunadamente
cretino,17,cretino
corbata,17,corbata
conclusión,17,conclusión conclusiones
comunista,17,comunista comunistas
comprado comprar,17,comprado
compañera,17,compañera
collar,17,collar
cocinar,17,cocinar
cocaína,17,cocaína
cobra cobrar,17,cobra
clásico,17,clásico clásica
cincuenta,17,cincuenta
cima,17,cima
chofer,17,chofer
césar César,17,césar
